Object,Probability
Object51,4.06E-11
Object52,9.40E-05
Object53,0.971348952
Object54,0.513936
Object55,0.000316539
Object56,0.0228
Object57,0.002086091
Object58,0.6795
Object59,1.03E-06
Object60,1.14E-13
Object61,4.72E-16
Object62,0.00058608
Object63,1.52E-09
Object64,0.0136
Object65,0
Object66,1.27E-11
Object67,0
Object68,3.42E-06
Object69,3.22E-06
Object70,0.99
Object71,0.022845161
Object72,3.66E-10
Object73,1.64E-05
Object74,0.065076
Object75,0
Object76,0
Object77,0
Object78,7.43E-05
Object79,0
Object80,2.69E-06
Object81,0
Object82,0.06223392
Object83,4.88E-07
Object84,2.29E-06
Object85,0.0553052
Object86,2.94E-06
Object87,0
Object88,0.00148104
Object89,0.136884
Object90,0
Object91,7.70E-08
Object92,0.004364721
Object93,0.0017856
Object94,0
Object95,0.04357276
Object96,0
Object97,0.0009
Object98,0.157324
Object99,0
Object100,0.09210436
Object101,0
Object102,2.14E-13
Object103,0.4916
Object104,0
Object105,0.181764
Object106,0.84273744
Object107,0.0027552
Object108,1.12E-07
Object109,0
Object110,0
Object111,1
Object112,0
Object113,0.04
Object114,0.012218536
Object115,1.16E-11
Object116,0.000195054
Object117,0.31332004
Object118,0.14
Object119,1.91E-05
Object120,0
Object121,0.0703
Object122,0.02040346
Object123,1
Object124,0
Object125,2.51E-06
Object126,4.02E-08
Object127,0.9744
Object128,0.083028
Object129,0.000776146
Object130,0.03707242
Object131,0.018228
Object132,1
Object133,0.00517824
Object134,0
Object135,1.37E-09
Object136,2.97E-07
Object137,0
Object138,0.009515413
Object139,0.000984614
Object140,2.83E-08
Object141,0.19
Object142,3.38E-07
Object143,0
Object144,3.16E-15
Object145,2.01E-07
Object146,0.8772
Object147,0
Object148,4.48E-12
Object149,0
Object150,0.000427243
