Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_D,Instance1,924,-45,100,0.08,Instance2,924,-44,100,0.83,Instance3,924,-5,100,0.09
Object2_D,Instance1,793,-16,50,0.74,Instance2,793,-31,50,0.15,Instance3,793,-25,50,0.11
Object3_D,Instance1,93,-32,140,0.51,Instance2,93,-34,140,0.33,Instance3,93,-45,140,0.15
Object4_D,Instance1,809,-5,190,0.26,Instance2,809,-5,190,0.58,Instance3,809,-43,190,0.15
Object5_D,Instance1,199,-17,80,0.22,Instance2,199,-1,80,0.51,Instance3,199,-22,80,0.26
Object6_D,Instance1,660,-23,190,0.12,Instance2,660,-13,190,0.46,Instance3,660,-35,190,0.42
Object7_D,Instance1,932,-6,180,0.52,Instance2,932,-19,180,0.05,Instance3,932,-8,180,0.42
Object8_D,Instance1,407,-41,60,0.92,Instance2,407,-45,60,0.07,Instance3,407,-44,60,0.01
Object9_D,Instance1,15,-31,170,0.38,Instance2,15,-45,170,0.47,Instance3,15,-25,170,0.15
Object10_D,Instance1,240,-33,60,0.99,Instance2,240,-18,60,0.0,Instance3,240,-50,60,0.01
Object11_D,Instance1,760,-47,80,0.35,Instance2,760,-33,80,0.35,Instance3,760,-28,80,0.31
Object12_D,Instance1,147,-48,190,0.22,Instance2,147,-24,190,0.22,Instance3,147,-16,190,0.55
Object13_D,Instance1,663,-14,80,0.9,Instance2,663,-19,80,0.06,Instance3,663,-17,80,0.04
Object14_D,Instance1,347,-4,200,0.42,Instance2,347,-24,200,0.16,Instance3,347,-43,200,0.43
Object15_D,Instance1,375,-49,130,0.57,Instance2,375,-8,130,0.02,Instance3,375,-28,130,0.41
Object16_D,Instance1,592,-38,100,0.93,Instance2,592,-19,100,0.01,Instance3,592,-18,100,0.06
Object17_D,Instance1,998,-41,190,0.97,Instance2,998,-50,190,0.02,Instance3,998,-33,190,0.01
Object18_D,Instance1,193,-14,180,0.14,Instance2,193,-3,180,0.16,Instance3,193,-8,180,0.71
Object19_D,Instance1,49,-43,160,0.8,Instance2,49,-39,160,0.04,Instance3,49,-18,160,0.16
Object20_D,Instance1,733,-25,180,0.17,Instance2,733,-30,180,0.57,Instance3,733,-21,180,0.25
Object21_D,Instance1,315,-22,130,0.2,Instance2,315,-42,130,0.25,Instance3,315,-28,130,0.55
Object22_D,Instance1,853,-41,40,0.78,Instance2,853,-42,40,0.18,Instance3,853,-29,40,0.03
Object23_D,Instance1,966,-19,80,0.44,Instance2,966,-41,80,0.26,Instance3,966,-41,80,0.31
Object24_D,Instance1,911,-7,200,0.98,Instance2,911,-6,200,0.01,Instance3,911,-18,200,0.01
Object25_D,Instance1,494,-50,20,0.53,Instance2,494,-43,20,0.45,Instance3,494,-36,20,0.02
Object26_D,Instance1,148,-18,70,0.09,Instance2,148,-26,70,0.67,Instance3,148,-16,70,0.24
Object27_D,Instance1,810,-18,200,0.75,Instance2,810,-1,200,0.1,Instance3,810,-42,200,0.16
Object28_D,Instance1,624,-32,170,0.09,Instance2,624,-6,170,0.63,Instance3,624,-24,170,0.28
Object29_D,Instance1,114,-31,160,0.55,Instance2,114,-27,160,0.39,Instance3,114,-41,160,0.05
Object30_D,Instance1,30,-15,70,0.59,Instance2,30,-34,70,0.22,Instance3,30,-27,70,0.19
Object31_D,Instance1,970,-40,200,0.66,Instance2,970,-5,200,0.2,Instance3,970,-6,200,0.14
Object32_D,Instance1,595,-42,100,0.56,Instance2,595,-33,100,0.07,Instance3,595,-8,100,0.37
Object33_D,Instance1,229,-3,200,0.18,Instance2,229,-32,200,0.16,Instance3,229,-43,200,0.65
Object34_D,Instance1,111,-15,30,0.35,Instance2,111,-1,30,0.45,Instance3,111,-1,30,0.2
Object35_D,Instance1,759,-39,100,0.88,Instance2,759,-38,100,0.01,Instance3,759,-36,100,0.11
Object36_D,Instance1,717,-41,20,0.53,Instance2,717,-12,20,0.28,Instance3,717,-44,20,0.19
Object37_D,Instance1,814,-43,190,0.55,Instance2,814,-39,190,0.1,Instance3,814,-37,190,0.35
Object38_D,Instance1,846,-5,20,0.42,Instance2,846,-19,20,0.34,Instance3,846,-13,20,0.24
Object39_D,Instance1,414,-37,20,0.63,Instance2,414,-29,20,0.14,Instance3,414,-13,20,0.23
Object40_D,Instance1,982,-27,160,0.62,Instance2,982,-22,160,0.27,Instance3,982,-33,160,0.1
Object41_D,Instance1,97,-49,160,0.86,Instance2,97,-7,160,0.12,Instance3,97,-23,160,0.02
Object42_D,Instance1,531,-19,170,0.7,Instance2,531,-33,170,0.13,Instance3,531,-36,170,0.17
Object43_D,Instance1,700,-50,190,0.42,Instance2,700,-36,190,0.41,Instance3,700,-13,190,0.17
Object44_D,Instance1,300,-45,140,0.01,Instance2,300,-39,140,0.39,Instance3,300,-50,140,0.61
Object45_D,Instance1,961,-44,170,0.09,Instance2,961,-14,170,0.72,Instance3,961,-36,170,0.19
Object46_D,Instance1,743,-37,50,0.09,Instance2,743,-46,50,0.89,Instance3,743,-3,50,0.02
Object47_D,Instance1,254,-38,110,0.43,Instance2,254,-9,110,0.07,Instance3,254,-10,110,0.5
Object48_D,Instance1,868,-38,110,0.21,Instance2,868,-32,110,0.71,Instance3,868,-33,110,0.08
Object49_D,Instance1,599,-19,130,0.82,Instance2,599,-38,130,0.12,Instance3,599,-37,130,0.06
Object50_D,Instance1,438,-36,70,0.12,Instance2,438,-33,70,0.21,Instance3,438,-16,70,0.67
Object51_D,Instance1,87,-23,160,0.72,Instance2,87,-24,160,0.17,Instance3,87,-27,160,0.1
Object52_D,Instance1,261,-10,80,0.04,Instance2,261,-35,80,0.38,Instance3,261,-13,80,0.58
Object53_D,Instance1,837,-26,90,0.63,Instance2,837,-28,90,0.31,Instance3,837,-6,90,0.06
Object54_D,Instance1,583,-47,150,0.71,Instance2,583,-46,150,0.27,Instance3,583,-13,150,0.02
Object55_D,Instance1,559,-2,160,0.3,Instance2,559,-37,160,0.03,Instance3,559,-30,160,0.67
Object56_D,Instance1,303,-2,130,0.84,Instance2,303,-28,130,0.03,Instance3,303,-10,130,0.12
Object57_D,Instance1,107,-20,30,0.09,Instance2,107,-12,30,0.03,Instance3,107,-22,30,0.88
Object58_D,Instance1,145,-23,70,0.48,Instance2,145,-21,70,0.45,Instance3,145,-33,70,0.07
Object59_D,Instance1,804,-11,150,0.45,Instance2,804,-11,150,0.03,Instance3,804,-46,150,0.51
Object60_D,Instance1,884,-32,10,0.06,Instance2,884,-42,10,0.87,Instance3,884,-48,10,0.07
Object61_D,Instance1,19,-40,130,0.57,Instance2,19,-5,130,0.36,Instance3,19,-39,130,0.07
Object62_D,Instance1,22,-23,140,0.51,Instance2,22,-40,140,0.28,Instance3,22,-26,140,0.21
Object63_D,Instance1,478,-5,140,0.5,Instance2,478,-4,140,0.45,Instance3,478,-7,140,0.05
Object64_D,Instance1,401,-7,40,0.3,Instance2,401,-13,40,0.15,Instance3,401,-7,40,0.55
Object65_D,Instance1,381,-34,200,0.07,Instance2,381,-48,200,0.59,Instance3,381,-40,200,0.35
Object66_D,Instance1,679,-18,80,0.73,Instance2,679,-49,80,0.19,Instance3,679,-25,80,0.08
Object67_D,Instance1,69,-49,180,0.27,Instance2,69,-13,180,0.39,Instance3,69,-48,180,0.35
Object68_D,Instance1,45,-36,80,0.67,Instance2,45,-50,80,0.02,Instance3,45,-32,80,0.32
Object69_D,Instance1,552,-35,120,0.26,Instance2,552,-16,120,0.03,Instance3,552,-35,120,0.72
Object70_D,Instance1,996,-13,120,0.86,Instance2,996,-14,120,0.12,Instance3,996,-8,120,0.02
Object71_D,Instance1,63,-16,80,0.19,Instance2,63,-21,80,0.04,Instance3,63,-12,80,0.78
Object72_D,Instance1,22,-20,90,0.97,Instance2,22,-34,90,0.01,Instance3,22,-48,90,0.02
Object73_D,Instance1,997,-4,70,0.78,Instance2,997,-46,70,0.01,Instance3,997,-39,70,0.21
Object74_D,Instance1,257,-1,200,0.05,Instance2,257,-2,200,0.15,Instance3,257,-49,200,0.8
Object75_D,Instance1,985,-18,40,0.07,Instance2,985,-22,40,0.65,Instance3,985,-26,40,0.28
Object76_D,Instance1,649,-24,40,0.67,Instance2,649,-41,40,0.29,Instance3,649,-2,40,0.04
Object77_D,Instance1,937,-10,190,0.08,Instance2,937,-50,190,0.17,Instance3,937,-21,190,0.75
Object78_D,Instance1,548,-11,200,0.89,Instance2,548,-6,200,0.07,Instance3,548,-9,200,0.04
Object79_D,Instance1,400,-47,140,0.49,Instance2,400,-48,140,0.39,Instance3,400,-32,140,0.12
Object80_D,Instance1,787,-14,170,0.04,Instance2,787,-1,170,0.03,Instance3,787,-41,170,0.93
Object81_D,Instance1,329,-14,110,0.14,Instance2,329,-37,110,0.13,Instance3,329,-14,110,0.73
Object82_D,Instance1,90,-50,20,0.31,Instance2,90,-20,20,0.21,Instance3,90,-34,20,0.48
Object83_D,Instance1,181,-17,180,0.44,Instance2,181,-32,180,0.23,Instance3,181,-12,180,0.33
Object84_D,Instance1,1,-49,200,0.22,Instance2,1,-35,200,0.12,Instance3,1,-21,200,0.66
Object85_D,Instance1,230,-19,100,0.97,Instance2,230,-40,100,0.02,Instance3,230,-21,100,0.0
Object86_D,Instance1,722,-49,70,0.55,Instance2,722,-24,70,0.13,Instance3,722,-1,70,0.31
Object87_D,Instance1,347,-31,120,0.62,Instance2,347,-13,120,0.03,Instance3,347,-29,120,0.35
Object88_D,Instance1,693,-24,90,0.48,Instance2,693,-27,90,0.0,Instance3,693,-37,90,0.51
Object89_D,Instance1,957,-11,80,0.06,Instance2,957,-37,80,0.72,Instance3,957,-14,80,0.22
Object90_D,Instance1,905,-49,130,0.6,Instance2,905,-29,130,0.23,Instance3,905,-11,130,0.16
Object91_D,Instance1,350,-11,70,0.86,Instance2,350,-42,70,0.07,Instance3,350,-19,70,0.07
Object92_D,Instance1,79,-15,190,0.96,Instance2,79,-14,190,0.0,Instance3,79,-49,190,0.04
