Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_D,Instance1,628,-15,80,0.18,Instance2,628,-29,80,0.8,Instance3,628,-39,80,0.01
Object2_D,Instance1,22,-2,190,0.03,Instance2,22,-1,190,0.23,Instance3,22,-34,190,0.74
Object3_D,Instance1,281,-42,120,0.48,Instance2,281,-14,120,0.26,Instance3,281,-1,120,0.25
Object4_D,Instance1,866,-49,10,0.98,Instance2,866,-41,10,0.01,Instance3,866,-27,10,0.01
Object5_D,Instance1,206,-24,130,0.11,Instance2,206,-40,130,0.42,Instance3,206,-17,130,0.47
Object6_D,Instance1,198,-44,90,0.97,Instance2,198,-3,90,0.0,Instance3,198,-12,90,0.03
Object7_D,Instance1,791,-5,30,0.1,Instance2,791,-15,30,0.73,Instance3,791,-30,30,0.17
Object8_D,Instance1,561,-30,160,0.58,Instance2,561,-26,160,0.39,Instance3,561,-4,160,0.02
Object9_D,Instance1,858,-36,120,0.26,Instance2,858,-16,120,0.49,Instance3,858,-31,120,0.24
Object10_D,Instance1,350,-42,40,0.6,Instance2,350,-17,40,0.11,Instance3,350,-26,40,0.3
Object11_D,Instance1,23,-49,50,0.52,Instance2,23,-43,50,0.18,Instance3,23,-34,50,0.3
Object12_D,Instance1,131,-5,110,0.8,Instance2,131,-29,110,0.16,Instance3,131,-10,110,0.04
Object13_D,Instance1,426,-47,150,0.49,Instance2,426,-30,150,0.12,Instance3,426,-11,150,0.39
Object14_D,Instance1,79,-14,130,0.18,Instance2,79,-14,130,0.24,Instance3,79,-50,130,0.58
Object15_D,Instance1,627,-41,170,0.28,Instance2,627,-31,170,0.29,Instance3,627,-30,170,0.43
Object16_D,Instance1,348,-34,60,0.69,Instance2,348,-46,60,0.2,Instance3,348,-29,60,0.11
Object17_D,Instance1,383,-25,120,0.53,Instance2,383,-32,120,0.19,Instance3,383,-32,120,0.28
Object18_D,Instance1,908,-20,80,0.79,Instance2,908,-31,80,0.08,Instance3,908,-27,80,0.14
Object19_D,Instance1,742,-50,100,0.29,Instance2,742,-34,100,0.61,Instance3,742,-46,100,0.1
Object20_D,Instance1,890,-11,200,0.94,Instance2,890,-29,200,0.05,Instance3,890,-21,200,0.01
Object21_D,Instance1,568,-34,90,0.3,Instance2,568,-4,90,0.36,Instance3,568,-5,90,0.34
Object22_D,Instance1,982,-17,190,0.65,Instance2,982,-35,190,0.28,Instance3,982,-1,190,0.07
Object23_D,Instance1,385,-24,30,0.33,Instance2,385,-22,30,0.14,Instance3,385,-11,30,0.53
Object24_D,Instance1,172,-23,160,0.38,Instance2,172,-48,160,0.05,Instance3,172,-22,160,0.57
Object25_D,Instance1,407,-46,150,0.85,Instance2,407,-7,150,0.09,Instance3,407,-43,150,0.06
Object26_D,Instance1,155,-14,60,0.78,Instance2,155,-36,60,0.18,Instance3,155,-22,60,0.03
Object27_D,Instance1,938,-15,40,0.36,Instance2,938,-28,40,0.3,Instance3,938,-46,40,0.34
Object28_D,Instance1,642,-40,60,0.87,Instance2,642,-34,60,0.07,Instance3,642,-34,60,0.07
Object29_D,Instance1,19,-4,40,0.02,Instance2,19,-19,40,0.73,Instance3,19,-26,40,0.25
