Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_A,Instance1,125,-34,60,0.01,Instance2,125,-49,60,0.85,Instance3,125,-28,60,0.14
Object2_A,Instance1,91,-14,10,0.76,Instance2,91,-42,10,0.21,Instance3,91,-42,10,0.03
Object3_A,Instance1,162,-38,50,0.62,Instance2,162,-13,50,0.31,Instance3,162,-10,50,0.07
Object4_A,Instance1,444,-31,160,0.12,Instance2,444,-42,160,0.59,Instance3,444,-2,160,0.3
Object5_A,Instance1,227,-5,170,0.47,Instance2,227,-46,170,0.29,Instance3,227,-20,170,0.25
Object6_A,Instance1,143,-9,90,0.63,Instance2,143,-24,90,0.28,Instance3,143,-18,90,0.09
Object7_A,Instance1,790,-4,180,0.67,Instance2,790,-32,180,0.31,Instance3,790,-41,180,0.02
Object8_A,Instance1,204,-39,110,0.43,Instance2,204,-23,110,0.5,Instance3,204,-23,110,0.07
Object9_A,Instance1,171,-43,80,0.37,Instance2,171,-16,80,0.2,Instance3,171,-15,80,0.42
Object10_A,Instance1,211,-30,200,0.69,Instance2,211,-28,200,0.2,Instance3,211,-29,200,0.1
Object11_A,Instance1,260,-4,30,0.95,Instance2,260,-49,30,0.03,Instance3,260,-18,30,0.01
Object12_A,Instance1,13,-29,90,0.34,Instance2,13,-30,90,0.51,Instance3,13,-39,90,0.15
Object13_A,Instance1,757,-29,40,0.75,Instance2,757,-2,40,0.17,Instance3,757,-46,40,0.08
Object14_A,Instance1,563,-43,150,0.76,Instance2,563,-3,150,0.05,Instance3,563,-11,150,0.19
Object15_A,Instance1,603,-35,30,0.75,Instance2,603,-37,30,0.18,Instance3,603,-2,30,0.08
Object16_A,Instance1,632,-8,120,0.52,Instance2,632,-9,120,0.02,Instance3,632,-21,120,0.45
Object17_A,Instance1,142,-35,100,0.47,Instance2,142,-28,100,0.37,Instance3,142,-2,100,0.16
Object18_A,Instance1,3,-3,60,0.52,Instance2,3,-14,60,0.4,Instance3,3,-31,60,0.08
Object19_A,Instance1,274,-47,40,0.63,Instance2,274,-42,40,0.12,Instance3,274,-24,40,0.25
Object20_A,Instance1,258,-6,10,0.68,Instance2,258,-26,10,0.3,Instance3,258,-29,10,0.01
Object21_A,Instance1,488,-4,50,0.07,Instance2,488,-9,50,0.43,Instance3,488,-48,50,0.51
Object22_A,Instance1,983,-13,30,0.83,Instance2,983,-34,30,0.1,Instance3,983,-13,30,0.06
Object23_A,Instance1,619,-48,90,0.83,Instance2,619,-30,90,0.03,Instance3,619,-39,90,0.14
Object24_A,Instance1,205,-22,10,0.3,Instance2,205,-33,10,0.06,Instance3,205,-20,10,0.64
Object25_A,Instance1,912,-14,150,0.21,Instance2,912,-19,150,0.45,Instance3,912,-36,150,0.34
Object26_A,Instance1,437,-22,60,0.92,Instance2,437,-1,60,0.04,Instance3,437,-4,60,0.04
Object27_A,Instance1,388,-19,170,0.75,Instance2,388,-13,170,0.19,Instance3,388,-19,170,0.06
Object28_A,Instance1,767,-7,190,0.24,Instance2,767,-27,190,0.37,Instance3,767,-3,190,0.4
Object29_A,Instance1,196,-31,170,0.93,Instance2,196,-23,170,0.03,Instance3,196,-47,170,0.04
Object30_A,Instance1,494,-24,190,0.49,Instance2,494,-37,190,0.43,Instance3,494,-21,190,0.08
Object31_A,Instance1,990,-30,90,0.46,Instance2,990,-10,90,0.09,Instance3,990,-37,90,0.45
Object32_A,Instance1,35,-38,10,0.95,Instance2,35,-11,10,0.03,Instance3,35,-12,10,0.02
