Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1,Instance1,897,-38,30,0.19,Instance2,897,-15,30,0.56,Instance3,897,-10,30,0.25
Object2,Instance1,320,-40,180,0.62,Instance2,320,-32,180,0.03,Instance3,320,-36,180,0.35
Object3,Instance1,136,-2,50,0.13,Instance2,136,-3,50,0.59,Instance3,136,-8,50,0.28
Object4,Instance1,376,-15,90,0.9,Instance2,376,-3,90,0.08,Instance3,376,-26,90,0.02
Object5,Instance1,610,-9,110,0.2,Instance2,610,-12,110,0.47,Instance3,610,-11,110,0.33
Object6,Instance1,215,-35,170,0.32,Instance2,215,-39,170,0.09,Instance3,215,-30,170,0.59
Object7,Instance1,108,-44,70,0.46,Instance2,108,-18,70,0.17,Instance3,108,-28,70,0.37
Object8,Instance1,46,-28,50,0.59,Instance2,46,-48,50,0.35,Instance3,46,-1,50,0.06
Object9,Instance1,528,-44,200,0.03,Instance2,528,-29,200,0.51,Instance3,528,-35,200,0.46
Object10,Instance1,330,-39,60,0.73,Instance2,330,-31,60,0.2,Instance3,330,-22,60,0.08
Object11,Instance1,358,-46,160,0.18,Instance2,358,-20,160,0.36,Instance3,358,-5,160,0.46
Object12,Instance1,547,-44,50,0.07,Instance2,547,-41,50,0.01,Instance3,547,-5,50,0.92
Object13,Instance1,40,-9,60,0.93,Instance2,40,-15,60,0.03,Instance3,40,-22,60,0.04
Object14,Instance1,371,-44,160,0.84,Instance2,371,-12,160,0.02,Instance3,371,-47,160,0.15
Object15,Instance1,145,-27,30,0.04,Instance2,145,-29,30,0.39,Instance3,145,-8,30,0.57
Object16,Instance1,84,-9,150,0.84,Instance2,84,-10,150,0.03,Instance3,84,-16,150,0.13
Object17,Instance1,432,-39,180,0.38,Instance2,432,-41,180,0.39,Instance3,432,-49,180,0.24
Object18,Instance1,619,-39,20,0.4,Instance2,619,-9,20,0.41,Instance3,619,-8,20,0.18
Object19,Instance1,73,-37,120,0.07,Instance2,73,-6,120,0.13,Instance3,73,-19,120,0.8
Object20,Instance1,661,-1,50,0.46,Instance2,661,-1,50,0.4,Instance3,661,-17,50,0.13
Object21,Instance1,78,-42,50,0.3,Instance2,78,-4,50,0.28,Instance3,78,-10,50,0.41
Object22,Instance1,209,-29,40,0.41,Instance2,209,-47,40,0.38,Instance3,209,-32,40,0.22
Object23,Instance1,931,-25,20,0.37,Instance2,931,-12,20,0.54,Instance3,931,-12,20,0.09
Object24,Instance1,590,-6,100,0.47,Instance2,590,-30,100,0.13,Instance3,590,-20,100,0.4
