Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1,Instance1,661,-11,170,0.58,Instance2,661,-40,170,0.17,Instance3,661,-14,170,0.25
Object2,Instance1,719,-4,90,0.49,Instance2,719,-49,90,0.06,Instance3,719,-25,90,0.45
Object3,Instance1,339,-50,40,0.97,Instance2,339,-29,40,0.02,Instance3,339,-30,40,0.0
Object4,Instance1,341,-38,10,0.06,Instance2,341,-25,10,0.64,Instance3,341,-11,10,0.3
Object5,Instance1,727,-42,70,0.32,Instance2,727,-1,70,0.37,Instance3,727,-17,70,0.32
Object6,Instance1,503,-50,70,0.76,Instance2,503,-16,70,0.03,Instance3,503,-21,70,0.21
Object7,Instance1,421,-34,100,0.16,Instance2,421,-39,100,0.56,Instance3,421,-48,100,0.28
Object8,Instance1,38,-50,90,0.67,Instance2,38,-36,90,0.05,Instance3,38,-1,90,0.28
Object9,Instance1,659,-8,80,0.01,Instance2,659,-7,80,0.01,Instance3,659,-32,80,0.98
Object10,Instance1,463,-30,200,0.56,Instance2,463,-35,200,0.38,Instance3,463,-17,200,0.06
Object11,Instance1,842,-38,170,0.16,Instance2,842,-20,170,0.75,Instance3,842,-31,170,0.1
Object12,Instance1,402,-50,150,0.08,Instance2,402,-25,150,0.19,Instance3,402,-4,150,0.74
Object13,Instance1,520,-10,150,0.02,Instance2,520,-6,150,0.95,Instance3,520,-42,150,0.03
Object14,Instance1,32,-14,180,0.93,Instance2,32,-17,180,0.05,Instance3,32,-23,180,0.02
Object15,Instance1,930,-27,150,0.87,Instance2,930,-21,150,0.08,Instance3,930,-28,150,0.05
Object16,Instance1,970,-31,170,0.48,Instance2,970,-43,170,0.27,Instance3,970,-35,170,0.25
Object17,Instance1,877,-14,30,0.84,Instance2,877,-22,30,0.09,Instance3,877,-3,30,0.06
Object18,Instance1,793,-35,40,0.85,Instance2,793,-32,40,0.02,Instance3,793,-19,40,0.13
Object19,Instance1,397,-7,140,0.84,Instance2,397,-13,140,0.12,Instance3,397,-47,140,0.03
Object20,Instance1,25,-49,90,0.32,Instance2,25,-45,90,0.49,Instance3,25,-17,90,0.18
Object21,Instance1,368,-37,40,0.91,Instance2,368,-9,40,0.02,Instance3,368,-46,40,0.07
Object22,Instance1,678,-30,200,0.86,Instance2,678,-32,200,0.07,Instance3,678,-43,200,0.07
Object23,Instance1,821,-34,90,0.26,Instance2,821,-47,90,0.07,Instance3,821,-7,90,0.68
Object24,Instance1,265,-21,90,0.32,Instance2,265,-23,90,0.39,Instance3,265,-46,90,0.29
Object25,Instance1,268,-31,180,0.31,Instance2,268,-27,180,0.3,Instance3,268,-9,180,0.39
Object26,Instance1,238,-24,110,0.94,Instance2,238,-15,110,0.05,Instance3,238,-19,110,0.01
Object27,Instance1,621,-7,30,0.47,Instance2,621,-2,30,0.4,Instance3,621,-5,30,0.13
Object28,Instance1,666,-17,200,0.3,Instance2,666,-48,200,0.36,Instance3,666,-49,200,0.33
Object29,Instance1,867,-20,50,0.57,Instance2,867,-2,50,0.22,Instance3,867,-13,50,0.21
Object30,Instance1,732,-37,70,0.32,Instance2,732,-27,70,0.33,Instance3,732,-1,70,0.35
Object31,Instance1,470,-14,90,0.27,Instance2,470,-23,90,0.17,Instance3,470,-23,90,0.56
Object32,Instance1,870,-8,20,0.69,Instance2,870,-40,20,0.27,Instance3,870,-6,20,0.03
Object33,Instance1,424,-24,100,0.11,Instance2,424,-27,100,0.47,Instance3,424,-37,100,0.42
Object34,Instance1,807,-10,140,0.2,Instance2,807,-26,140,0.08,Instance3,807,-47,140,0.72
Object35,Instance1,91,-34,140,0.7,Instance2,91,-40,140,0.0,Instance3,91,-45,140,0.3
Object36,Instance1,710,-39,130,0.75,Instance2,710,-45,130,0.23,Instance3,710,-4,130,0.02
Object37,Instance1,535,-6,60,0.17,Instance2,535,-4,60,0.74,Instance3,535,-7,60,0.09
Object38,Instance1,407,-4,120,0.72,Instance2,407,-13,120,0.06,Instance3,407,-48,120,0.22
Object39,Instance1,74,-46,160,0.61,Instance2,74,-3,160,0.24,Instance3,74,-20,160,0.15
Object40,Instance1,931,-2,100,0.7,Instance2,931,-12,100,0.1,Instance3,931,-19,100,0.19
Object41,Instance1,809,-34,140,0.56,Instance2,809,-22,140,0.18,Instance3,809,-46,140,0.27
Object42,Instance1,735,-3,60,0.63,Instance2,735,-45,60,0.28,Instance3,735,-17,60,0.09
Object43,Instance1,529,-9,60,0.9,Instance2,529,-48,60,0.0,Instance3,529,-46,60,0.1
