Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1,Instance1,774,-23,170,0.41,Instance2,774,-13,170,0.13,Instance3,774,-1,170,0.46
Object2,Instance1,474,-24,140,0.42,Instance2,474,-43,140,0.13,Instance3,474,-1,140,0.45
Object3,Instance1,512,-37,50,0.0,Instance2,512,-44,50,0.1,Instance3,512,-20,50,0.89
Object4,Instance1,228,-41,120,0.69,Instance2,228,-1,120,0.18,Instance3,228,-5,120,0.13
Object5,Instance1,654,-41,150,0.15,Instance2,654,-9,150,0.61,Instance3,654,-18,150,0.24
Object6,Instance1,753,-22,200,0.97,Instance2,753,-24,200,0.02,Instance3,753,-39,200,0.01
Object7,Instance1,684,-37,20,0.62,Instance2,684,-21,20,0.01,Instance3,684,-32,20,0.37
Object8,Instance1,413,-31,50,0.34,Instance2,413,-42,50,0.41,Instance3,413,-12,50,0.25
Object9,Instance1,382,-32,40,0.55,Instance2,382,-30,40,0.3,Instance3,382,-22,40,0.14
Object10,Instance1,612,-44,80,0.66,Instance2,612,-7,80,0.16,Instance3,612,-13,80,0.18
Object11,Instance1,859,-21,50,0.91,Instance2,859,-27,50,0.01,Instance3,859,-19,50,0.09
Object12,Instance1,992,-15,200,0.99,Instance2,992,-34,200,0.01,Instance3,992,-14,200,0.0
Object13,Instance1,152,-16,100,0.39,Instance2,152,-13,100,0.03,Instance3,152,-50,100,0.58
Object14,Instance1,967,-23,120,0.35,Instance2,967,-8,120,0.45,Instance3,967,-30,120,0.2
Object15,Instance1,118,-15,80,0.49,Instance2,118,-11,80,0.37,Instance3,118,-41,80,0.14
Object16,Instance1,806,-41,200,0.65,Instance2,806,-17,200,0.01,Instance3,806,-9,200,0.34
Object17,Instance1,446,-8,40,0.28,Instance2,446,-9,40,0.37,Instance3,446,-22,40,0.35
Object18,Instance1,393,-35,70,0.91,Instance2,393,-45,70,0.07,Instance3,393,-13,70,0.02
Object19,Instance1,234,-20,70,0.67,Instance2,234,-4,70,0.02,Instance3,234,-25,70,0.31
Object20,Instance1,217,-42,30,0.79,Instance2,217,-31,30,0.01,Instance3,217,-26,30,0.2
Object21,Instance1,196,-28,150,0.14,Instance2,196,-24,150,0.86,Instance3,196,-49,150,0.0
Object22,Instance1,84,-21,10,0.37,Instance2,84,-14,10,0.58,Instance3,84,-27,10,0.05
Object23,Instance1,394,-11,70,0.86,Instance2,394,-3,70,0.1,Instance3,394,-37,70,0.05
Object24,Instance1,247,-6,80,0.29,Instance2,247,-12,80,0.39,Instance3,247,-44,80,0.32
Object25,Instance1,892,-12,180,0.51,Instance2,892,-34,180,0.27,Instance3,892,-3,180,0.22
Object26,Instance1,197,-15,20,0.02,Instance2,197,-6,20,0.33,Instance3,197,-34,20,0.65
Object27,Instance1,383,-46,20,0.38,Instance2,383,-44,20,0.05,Instance3,383,-50,20,0.58
Object28,Instance1,550,-25,40,0.03,Instance2,550,-35,40,0.76,Instance3,550,-31,40,0.22
Object29,Instance1,852,-18,130,0.82,Instance2,852,-31,130,0.06,Instance3,852,-30,130,0.12
Object30,Instance1,318,-40,50,0.39,Instance2,318,-26,50,0.26,Instance3,318,-9,50,0.35
Object31,Instance1,16,-48,80,0.08,Instance2,16,-22,80,0.04,Instance3,16,-40,80,0.88
Object32,Instance1,936,-19,130,0.68,Instance2,936,-11,130,0.1,Instance3,936,-14,130,0.22
Object33,Instance1,947,-4,10,0.44,Instance2,947,-26,10,0.36,Instance3,947,-5,10,0.21
Object34,Instance1,173,-38,30,0.72,Instance2,173,-25,30,0.01,Instance3,173,-25,30,0.27
Object35,Instance1,942,-4,10,0.25,Instance2,942,-15,10,0.33,Instance3,942,-50,10,0.42
Object36,Instance1,468,-25,40,0.01,Instance2,468,-19,40,0.9,Instance3,468,-17,40,0.09
Object37,Instance1,141,-21,60,0.52,Instance2,141,-24,60,0.11,Instance3,141,-14,60,0.37
Object38,Instance1,814,-41,90,0.75,Instance2,814,-15,90,0.25,Instance3,814,-21,90,0.0
Object39,Instance1,943,-50,170,0.93,Instance2,943,-20,170,0.01,Instance3,943,-47,170,0.06
Object40,Instance1,19,-40,140,0.25,Instance2,19,-12,140,0.44,Instance3,19,-35,140,0.32
Object41,Instance1,444,-30,60,0.15,Instance2,444,-11,60,0.32,Instance3,444,-16,60,0.53
Object42,Instance1,584,-12,150,0.6,Instance2,584,-48,150,0.38,Instance3,584,-10,150,0.02
Object43,Instance1,745,-13,140,0.48,Instance2,745,-2,140,0.17,Instance3,745,-50,140,0.35
Object44,Instance1,547,-37,30,0.54,Instance2,547,-39,30,0.05,Instance3,547,-5,30,0.42
Object45,Instance1,548,-5,180,0.9,Instance2,548,-12,180,0.02,Instance3,548,-26,180,0.08
Object46,Instance1,933,-36,150,0.56,Instance2,933,-35,150,0.22,Instance3,933,-15,150,0.23
Object47,Instance1,137,-32,180,0.85,Instance2,137,-48,180,0.12,Instance3,137,-21,180,0.03
Object48,Instance1,123,-44,50,0.44,Instance2,123,-36,50,0.49,Instance3,123,-30,50,0.07
Object49,Instance1,634,-22,150,0.44,Instance2,634,-22,150,0.1,Instance3,634,-17,150,0.46
Object50,Instance1,772,-37,170,0.28,Instance2,772,-33,170,0.68,Instance3,772,-20,170,0.04
Object51,Instance1,154,-14,50,0.86,Instance2,154,-26,50,0.06,Instance3,154,-10,50,0.08
Object52,Instance1,814,-19,90,0.09,Instance2,814,-12,90,0.67,Instance3,814,-10,90,0.24
Object53,Instance1,204,-14,90,0.22,Instance2,204,-46,90,0.24,Instance3,204,-14,90,0.54
Object54,Instance1,12,-29,90,0.55,Instance2,12,-4,90,0.02,Instance3,12,-15,90,0.43
Object55,Instance1,147,-42,200,0.62,Instance2,147,-33,200,0.35,Instance3,147,-32,200,0.03
Object56,Instance1,249,-16,160,0.19,Instance2,249,-39,160,0.17,Instance3,249,-12,160,0.64
Object57,Instance1,157,-33,190,0.43,Instance2,157,-4,190,0.06,Instance3,157,-5,190,0.52
Object58,Instance1,862,-36,180,0.38,Instance2,862,-31,180,0.16,Instance3,862,-27,180,0.46
Object59,Instance1,480,-50,10,0.01,Instance2,480,-26,10,0.11,Instance3,480,-12,10,0.88
Object60,Instance1,934,-49,150,0.39,Instance2,934,-34,150,0.59,Instance3,934,-1,150,0.03
Object61,Instance1,872,-32,40,0.58,Instance2,872,-32,40,0.03,Instance3,872,-16,40,0.39
Object62,Instance1,147,-28,100,0.19,Instance2,147,-49,100,0.72,Instance3,147,-6,100,0.09
Object63,Instance1,998,-17,180,0.98,Instance2,998,-28,180,0.01,Instance3,998,-38,180,0.01
Object64,Instance1,782,-10,100,0.62,Instance2,782,-7,100,0.09,Instance3,782,-36,100,0.3
Object65,Instance1,824,-23,170,0.35,Instance2,824,-45,170,0.39,Instance3,824,-45,170,0.27
Object66,Instance1,658,-21,150,0.57,Instance2,658,-26,150,0.41,Instance3,658,-19,150,0.02
Object67,Instance1,980,-19,70,0.26,Instance2,980,-28,70,0.72,Instance3,980,-28,70,0.02
Object68,Instance1,280,-26,110,0.59,Instance2,280,-28,110,0.21,Instance3,280,-25,110,0.21
Object69,Instance1,371,-41,150,0.2,Instance2,371,-4,150,0.27,Instance3,371,-48,150,0.53
Object70,Instance1,407,-8,180,0.75,Instance2,407,-25,180,0.08,Instance3,407,-45,180,0.17
Object71,Instance1,169,-21,190,0.82,Instance2,169,-23,190,0.14,Instance3,169,-31,190,0.05
Object72,Instance1,73,-33,200,0.78,Instance2,73,-7,200,0.12,Instance3,73,-34,200,0.11
Object73,Instance1,978,-29,60,0.7,Instance2,978,-7,60,0.03,Instance3,978,-23,60,0.27
Object74,Instance1,305,-7,110,0.03,Instance2,305,-20,110,0.85,Instance3,305,-37,110,0.12
Object75,Instance1,647,-5,60,0.36,Instance2,647,-32,60,0.07,Instance3,647,-38,60,0.57
Object76,Instance1,320,-30,130,0.52,Instance2,320,-36,130,0.17,Instance3,320,-30,130,0.31
Object77,Instance1,928,-42,10,0.5,Instance2,928,-41,10,0.35,Instance3,928,-42,10,0.15
Object78,Instance1,214,-20,150,0.86,Instance2,214,-18,150,0.12,Instance3,214,-33,150,0.02
Object79,Instance1,821,-43,90,0.27,Instance2,821,-2,90,0.7,Instance3,821,-42,90,0.03
Object80,Instance1,316,-50,110,0.51,Instance2,316,-50,110,0.12,Instance3,316,-36,110,0.37
Object81,Instance1,336,-30,200,0.83,Instance2,336,-49,200,0.11,Instance3,336,-1,200,0.06
Object82,Instance1,579,-2,160,0.87,Instance2,579,-5,160,0.05,Instance3,579,-34,160,0.08
Object83,Instance1,714,-39,20,0.41,Instance2,714,-32,20,0.53,Instance3,714,-1,20,0.06
Object84,Instance1,551,-23,200,0.43,Instance2,551,-2,200,0.39,Instance3,551,-25,200,0.18
Object85,Instance1,416,-5,110,0.08,Instance2,416,-7,110,0.38,Instance3,416,-21,110,0.53
Object86,Instance1,362,-31,50,0.46,Instance2,362,-21,50,0.43,Instance3,362,-34,50,0.11
Object87,Instance1,922,-37,80,0.49,Instance2,922,-30,80,0.3,Instance3,922,-20,80,0.21
Object88,Instance1,330,-49,70,0.8,Instance2,330,-6,70,0.06,Instance3,330,-14,70,0.14
Object89,Instance1,843,-40,170,0.05,Instance2,843,-26,170,0.61,Instance3,843,-43,170,0.34
Object90,Instance1,729,-10,150,0.48,Instance2,729,-8,150,0.0,Instance3,729,-22,150,0.51
Object91,Instance1,787,-27,50,0.53,Instance2,787,-15,50,0.12,Instance3,787,-38,50,0.35
Object92,Instance1,998,-43,70,0.72,Instance2,998,-13,70,0.0,Instance3,998,-9,70,0.28
Object93,Instance1,625,-24,160,0.97,Instance2,625,-25,160,0.02,Instance3,625,-33,160,0.01
