Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1,Instance1,563,-7,50,0.44,Instance2,563,-42,50,0.19,Instance3,563,-40,50,0.37
Object2,Instance1,771,-30,10,0.92,Instance2,771,-11,10,0.05,Instance3,771,-15,10,0.03
Object3,Instance1,273,-50,130,0.31,Instance2,273,-32,130,0.61,Instance3,273,-4,130,0.08
Object4,Instance1,771,-24,140,0.97,Instance2,771,-20,140,0.02,Instance3,771,-42,140,0.01
Object5,Instance1,935,-36,90,0.38,Instance2,935,-31,90,0.5,Instance3,935,-22,90,0.12
Object6,Instance1,615,-34,180,0.94,Instance2,615,-26,180,0.04,Instance3,615,-41,180,0.03
Object7,Instance1,309,-24,160,0.03,Instance2,309,-7,160,0.81,Instance3,309,-43,160,0.16
Object8,Instance1,817,-41,150,0.49,Instance2,817,-30,150,0.35,Instance3,817,-10,150,0.16
Object9,Instance1,624,-12,200,0.47,Instance2,624,-19,200,0.52,Instance3,624,-40,200,0.01
Object10,Instance1,272,-18,90,0.45,Instance2,272,-35,90,0.34,Instance3,272,-43,90,0.21
Object11,Instance1,688,-23,70,0.03,Instance2,688,-30,70,0.89,Instance3,688,-8,70,0.08
Object12,Instance1,668,-1,90,0.54,Instance2,668,-11,90,0.02,Instance3,668,-41,90,0.44
Object13,Instance1,990,-38,20,0.53,Instance2,990,-17,20,0.14,Instance3,990,-50,20,0.33
Object14,Instance1,992,-41,150,0.67,Instance2,992,-29,150,0.28,Instance3,992,-8,150,0.05
Object15,Instance1,371,-5,180,0.1,Instance2,371,-10,180,0.75,Instance3,371,-41,180,0.15
Object16,Instance1,297,-6,100,0.33,Instance2,297,-49,100,0.2,Instance3,297,-1,100,0.46
Object17,Instance1,291,-13,20,0.32,Instance2,291,-28,20,0.65,Instance3,291,-27,20,0.02
Object18,Instance1,351,-44,30,0.98,Instance2,351,-29,30,0.01,Instance3,351,-11,30,0.01
Object19,Instance1,884,-15,200,0.96,Instance2,884,-4,200,0.0,Instance3,884,-7,200,0.04
Object20,Instance1,464,-34,10,0.66,Instance2,464,-22,10,0.18,Instance3,464,-39,10,0.15
Object21,Instance1,889,-36,40,0.77,Instance2,889,-39,40,0.22,Instance3,889,-1,40,0.01
Object22,Instance1,858,-35,100,0.83,Instance2,858,-2,100,0.1,Instance3,858,-25,100,0.08
Object23,Instance1,987,-27,80,0.3,Instance2,987,-33,80,0.51,Instance3,987,-16,80,0.19
Object24,Instance1,897,-20,100,0.48,Instance2,897,-43,100,0.47,Instance3,897,-50,100,0.06
